Fruit,Recipe,Ingredients
Apple,Apple and cinnamon custard cake,"2 (about 400g) Granny Smith apples, peeled, cut into 1cm pieces, plus 1 apple, extra
1 tablespoon fresh lemon juice
1 teaspoon cornflour
155g (3 ⁄4 cup) raw caster sugar, plus 2 tsp, extra
200g unsalted butter, at room temperature
2 tsp vanilla extract
3 eggs
265g (1 3/4 cups) self-raising flour
55g (1/2 cup) almond meal
1 teaspoon ground cinnamon
80ml (1/3 cup) milk
1 tbs demerara sugar
Demerara sugar, to serve (optional)
Whipped cream, to serve
250ml (1 cup) milk
1 teaspoon ground cinnamon
1 teaspoon vanilla extract
2 egg yolks
2 tablespoons raw caster sugar
1 tablespoon cornflour"
Orange,"Cauliflower, fennel and orange salad","2 tablespoons apple cider vinegar
2 teaspoons caster sugar
Large pinch saffron threads
1/4 cup sultanas
1 1/2 tablespoons lemon juice
1/3 cup extra virgin olive oil
25g butter
1/2 cauliflower, cut into thin wedges, small leaves reserved
1 fennel bulb, very thinly sliced, fronds reserved
2 oranges, peeled, thinly sliced into rounds
2 tablespoons natural flaked almonds, toasted
1/4 cup small fresh mint leaves"
Banana,Double chocolate banana bread,"200g milk chocolate, chopped
200g dark chocolate, chopped
2 1/4 cups plain flour
2 teaspoons baking powder
1/4 teaspoon bicarbonate of soda
3/4 cup caster sugar
3 eggs
1 cup light olive oil
2 teaspoons vanilla extract
4 over-ripe bananas, mashed
250g cream cheese, chopped, softened
Cocoa powder, to dust"
Avocado,Tuna and avocado sushi salad,"1 1/2 cups sushi rice
1/3 cup sushi seasoning
1 large carrot
185g can tuna in olive oil, drained, flaked
4 baby cucumbers, thinly sliced
2 small avocados, sliced
1 tablespoon Japanese mayonnaise
2 teaspoons sesame seeds, toasted
1/3 cup salt-reduced soy sauce
Roasted seaweed, to serve"
Kiwi,Kiwi passionfruit pavlova,"6 eggwhites
1 1/2 cups caster sugar
1 tablespoon cornflour
1 teaspoon white vinegar
1 teaspoon vanilla extract
300ml thickened cream
1 tablespoon icing sugar mixture
4 kiwifruit, peeled, sliced
2 passionfruit, halved"
